num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
3,73,Beijing,Mentougouyanhecheng,2015120112,8.61,10.99,1.68,9999,0.15,4,Clean,0,0
3,74,Sichuan,Panzhihualongdong,2015120112,8.43,9.17,1.38,9999,-1,3,Clean,0,0
3,76,Jiangxi,Jiujianghexishuichang,2015120112,7.63,11.22,2.37,9999,0.16,6,Clean,0,0
3,77,Jiangsu,Wuxishazhu,2015120112,7.5,11.37,3.91,9999,0.09,5,Clean,0,0
3,79,Guangxi,Wuzhoujieshou,2015120112,7.27,9.83,-1,9999,0.2,4,Clean,0,1.8
3,81,Gansu,Lanzhouxinchengqiao,2015120112,7.29,9.01,3.14,9999,0.09,5,Clean,0,0
3,83,Neimenggu,Baotouhuajiangyingzi,2015120112,7.79,12.41,5,9999,0.28,7,Clean,0,0
3,84,Shanxi,Yunchenghejindaqiao,2015120112,7.95,10.08,6,18.7,-1,5,Clean,0,0
3,85,Shandong,Jinanbokou,2015120112,8.71,13.29,2.92,9999,0.44,6,Clean,0,0
3,103,Jiangsu,Suzhouxishan,2015120112,8.35,6.69,3.2,9999,1.36,9,Clean,0,0
3,106,Anhui,Huaibeixiaowangqiao,2015120112,8.6,12.33,6.74,9999,0.18,8,Clean,0,0
3,109,Anhui,Bangbubangbuzha,2015120112,7.39,9.17,-1,9999,0.36,4,Clean,0,0
3,111,Jiangsu,Yixinglanshanzui,2015120112,7.5,9.21,4.05,9999,0.36,7,Clean,0,0
3,112,Jiangsu,Yangzhousanjiangying,2015120112,7.25,9.63,2.4,9999,0.25,6,Clean,0,0
3,113,Ningxia,Zhongweixindun,2015120112,8.53,9.93,3.1,9999,-1,4,Clean,0,0
3,114,Jiangxi,Jiujianghamashi,2015120112,7.16,9.23,3.92,9999,0.24,6,Clean,0,0
3,117,Sichuan,Yibinliangjianggou,2015120112,7.58,9.37,1.68,9999,0.15,4,Clean,0,0.5
3,119,Sichuan,Leshanminjiangdaqiao,2015120112,7.68,9.4,2.85,9999,0.41,6,Clean,0,0
3,121,Neimenggu,Wuhaihaibowan,2015120112,8.35,10.04,3.41,9999,0.35,6,Clean,0,0
3,122,Henan,Zhoukoushenqiuzha,2015120112,7.19,5.5,6.52,6.44,1.34,12,Polluted,1,0
3,124,Yunnan,Kunmingguanyinshan,2015120112,9.4,9.54,10.08,9999,1.48,23,Polluted,1,0.3
3,125,Hubei,Danjiangkouhujialing,2015120112,7.88,9.24,0.71,9999,0.13,4,Clean,0,0
3,127,Guangxi,Pingxiangpingerguan,2015120112,7.57,8.9,1.63,9999,0.1,4,Clean,0,0
3,128,Fujian,Fuzhoubaiyantan,2015120112,6.77,6.41,1.28,9999,-3,4,Clean,0,0
3,132,Liaoning,Liaoyangtangheshuiku,2015120112,-1,-1,2.1,9999,-1,2,Inconclusive,-,0
3,133,Heilongjiang,Heihe,2015120112,6.59,9.3,6.9,9999,0.19,8,Clean,0,0
3,134,Shandong,Zaozhuangtaierzhuang,2015120112,7.04,2.98,3.95,9999,0.22,13,Polluted,1,0
3,140,Yunnan,Xishuangbannaganlanba,2015120112,7.4,6.5,1.58,-1,0.6,7,Clean,0,0
3,142,Guangdong,Zhongshanhenglan,2015120112,7.13,9.88,2,9999,0.17,5,Clean,0,0
3,146,Yunnan,Honghezhouhekou,2015120112,8.45,7.49,1.85,2.86,0.38,6,Clean,0,0
3,147,Shandong,Linyizhongfangqiao,2015120112,8.05,11.77,3.9,4.9,0.16,6,Clean,0,0
3,149,Anhui,Chuzhouxiaoliuxiang,2015120112,7.92,9.79,3.1,3.7,0.19,6,Clean,0,0
3,150,Shandong,Linyilaogouqiao,2015120112,7.56,12.8,6.01,7.53,0.81,9,Clean,0,0
